X,CH1,CH2,
Second,Volt,Volt,
-7.7819996e-02,-4.60000e+00,-1.60000e-02,
-7.7799998e-02,-4.60000e+00,-1.60000e-02,
-7.7780001e-02,-4.60000e+00,-3.20000e-02,
-7.7759996e-02,-4.60000e+00,-8.80000e-02,
-7.7739999e-02,-4.60000e+00,-1.44000e-01,
-7.7720001e-02,-4.60000e+00,-4.00000e-02,
-7.7699997e-02,-4.60000e+00,4.80000e-02,
-7.7679999e-02,-4.60000e+00,8.00000e-03,
-7.7659994e-02,-4.60000e+00,-8.00000e-03,
-7.7639997e-02,-4.60000e+00,2.40000e-02,
-7.7620000e-02,-4.60000e+00,0.00000e+00,
-7.7599995e-02,-4.60000e+00,-1.60000e-02,
-7.7579997e-02,-4.60000e+00,-1.60000e-02,
-7.7560000e-02,-4.60000e+00,-2.40000e-02,
-7.7539995e-02,-4.60000e+00,-4.80000e-02,
-7.7519998e-02,-4.60000e+00,-1.12000e-01,
-7.7500001e-02,-4.60000e+00,-1.28000e-01,
-7.7479996e-02,-4.60000e+00,-5.60000e-02,
-7.7459998e-02,-4.60000e+00,-2.40000e-02,
-7.7440001e-02,-4.60000e+00,-8.00000e-02,
-7.7419996e-02,-4.60000e+00,-1.92000e-01,
-7.7399999e-02,-4.60000e+00,-3.68000e-01,
-7.7380002e-02,-4.60000e+00,-3.92000e-01,
-7.7359997e-02,-4.60000e+00,-2.80000e-01,
-7.7339999e-02,-4.60000e+00,-3.04000e-01,
-7.7319995e-02,-4.60000e+00,-4.16000e-01,
-7.7299997e-02,-4.60000e+00,3.20000e-02,
-7.7280000e-02,-4.60000e+00,2.16000e-01,
-7.7259995e-02,-4.60000e+00,-1.20000e-01,
-7.7239998e-02,-4.60000e+00,-1.60000e-02,
-7.7220000e-02,-4.60000e+00,6.40000e-02,
-7.7199996e-02,-4.60000e+00,-4.00000e-02,
-7.7179998e-02,-4.60000e+00,-3.20000e-02,
-7.7160001e-02,-4.60000e+00,-1.60000e-02,
-7.7139996e-02,-4.60000e+00,-2.40000e-02,
-7.7119999e-02,-4.60000e+00,-1.60000e-02,
-7.7100001e-02,-4.60000e+00,1.60000e-02,
-7.7079996e-02,-4.60000e+00,1.60000e-02,
-7.7059999e-02,-4.60000e+00,2.40000e-02,
-7.7040002e-02,-4.60000e+00,2.40000e-02,
-7.7019997e-02,-4.60000e+00,2.40000e-02,
-7.7000000e-02,-4.60000e+00,1.60000e-02,
-7.6979995e-02,-4.60000e+00,2.40000e-02,
-7.6959997e-02,-4.60000e+00,2.40000e-02,
-7.6940000e-02,-4.60000e+00,2.40000e-02,
-7.6919995e-02,-4.60000e+00,2.40000e-02,
-7.6899998e-02,-4.60000e+00,1.60000e-02,
-7.6880001e-02,-4.60000e+00,1.60000e-02,
-7.6859996e-02,-4.60000e+00,2.40000e-02,
-7.6839998e-02,-4.60000e+00,2.40000e-02,
-7.6820001e-02,-4.60000e+00,2.40000e-02,
-7.6799996e-02,-4.60000e+00,2.40000e-02,
-7.6779999e-02,-4.60000e+00,2.40000e-02,
-7.6760001e-02,-4.60000e+00,1.60000e-02,
-7.6739997e-02,-4.60000e+00,1.60000e-02,
-7.6719999e-02,-4.60000e+00,2.40000e-02,
-7.6699995e-02,-4.60000e+00,2.40000e-02,
-7.6679997e-02,-4.60000e+00,1.60000e-02,
